Address,BuildingType,City,ComplianceStatus,CouncilDistrictCode,DataYear,DefaultData,Electricity(kBtu),Electricity(kWh),ENERGYSTARScore,GHGEmissionsIntensity,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,ListOfAllPropertyUseTypes,Longitude,NaturalGas(kBtu),NaturalGas(therms),Neighborhood,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,PropertyName,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),State,SteamUse(kBtu),TaxParcelIdentificationNumber,TotalGHGEmissions,YearBuilt,ZipCode
6525 California Ave SW,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,779228,228378.7969,0,0.38,Multifamily Housing,24813,47.54411,"Multifamily Housing, Retail Store",'-122.38762,144264,1442.640015,South,1,4,23364,Low-Rise Multifamily,34544,0,34544,Ivy Court Apartments,923492.6875,995183.1875,30.29999924,32.59999847,85.19999695,90.69999695,WA,0,7625704460,13.09,1991,98136
6535 5th Place South,NonResidential,Seattle,Compliant,2,2016,false,510536,149629.5,52,1.66,Non-Refrigerated Warehouse,30000,47.54491,Non-Refrigerated Warehouse,'-122.32758,810529,8105.290039,South,1,2,27122,Warehouse,28032,0,28032,Cedar Heights,1321065,1539819.875,44,51.29999924,81.80000305,89.40000153,WA,0,5367201865,46.61,1951,98108
6535 Seaview Ave NW,Multifamily MR (5-9),Seattle,Compliant,6,2016,false,4905721,1437784.625,48,1.77,Multifamily Housing,239054,47.67624,Multifamily Housing,'-122.40974,7307702,73077.01563,North,1,7,24987,Mid-Rise Multifamily,239054,0,239054,Sunset West Condominum Phase II,12213423,13089102,51.09999847,54.79999924,96.5,103,WA,0,8139000000,422.31,1968,98115
654 W OLYMPIC PL,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,562486,164855.2969,0,0.17,Multifamily Housing,21107,47.62801,"Multifamily Housing, Parking",'-122.36626,0,0,North,1,5,25340,Mid-Rise Multifamily,19828,3198,23026,Olympic Plaza Condominium,562486.3125,592587.875,26.60000038,28.10000038,83.69999695,88.19999695,WA,0,6385200000,3.92,1968,98119
6540 5TH PL S,NonResidential,Seattle,Compliant,2,2016,false,266815,78199,43,0.91,Non-Refrigerated Warehouse,21040,47.54443,Non-Refrigerated Warehouse,'-122.32688,325273,3252.730225,South,1,1,27117,Warehouse,21040,0,21040,N W WAREHOUSE,592088.125,657383.1875,28.10000038,31.20000076,56.09999847,60.09999847,WA,0,5367201635,19.14,1976,98108
655 Crockett St,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1911096,560110.3125,64,0.52,Multifamily Housing,59625,47.63709,"Multifamily Housing, Parking",'-122.3438,449192,4491.919922,North,1,5,25327,Mid-Rise Multifamily,71592,0,71592,Portal Over Lake Union,2360288.5,2550563.5,39.59999847,42.79999924,108.5999985,115,WA,0,6864000000,37.18,2004,98109
655 South Orcas Street,NonResidential,Seattle,Compliant,2,2016,false,985457,288821,41,3.17,Office,24988,47.55127,Office,'-122.32576,1413896,14138.95996,South,1,2,20988,Small- and Mid-Sized Office,25872,0,25872,Building O,2399353.5,2498335.25,96,100,183.1999969,187,WA,0,1722801080,81.96,1969,98108
6556 35th AVE NE,NonResidential,Seattle,Compliant,4,2016,false,208060,60978.80078,90,1.43,Worship Facility,22220,47.67738,Worship Facility,'-122.28996,570296,5702.960938,North,1,2,19461,Worship Facility,22220,0,22220,University Unitarian Church,778355.8125,891251.5,35,40.09999847,56.40000153,61.70000076,WA,0,431000005,31.74,1957,98115
6559 15th Ave NW,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,1434188,420336.5,93,0.69,Multifamily Housing,83999,47.67758,Multifamily Housing,'-122.37702,896054,8960.540039,North,1,4,49800,Low-Rise Multifamily,83999,0,83999,Belay Apartments Ballard,2330242,2393270.25,27.70000076,28.5,64.80000305,66.59999847,WA,0,7518500220,57.59,2013,98117
6559 35th Ave NE,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,372279,109108.7969,100,1.04,Multifamily Housing,48618,47.67723,"Multifamily Housing, Parking",'-122.29126,1179772,11797.7207,North,5,2,19456,Low-Rise Multifamily,62900,0,62900,MOD,1552051.25,1552051.25,31.89999962,31.89999962,49.5,49.5,WA,0,425049047,65.25,1965,98115
6561 Phinney Ave N,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,1360400,398710.5,0,0.22,Multifamily Housing,43425,47.67711,"Multifamily Housing, Retail Store",'-122.35471,0,0,North,1,3,27436,Low-Rise Multifamily,43788,0,43788,Phinney Terrace,1360400.5,1442530.25,31.10000038,32.90000153,97.59999847,103.4000015,WA,0,7321900125,9.48,1984,98103
657 South King Street,Multifamily LR (1-4),Seattle,Compliant,2,2016,false,687429,201473.7969,94,0.65,Multifamily Housing,20520,47.5982,"Multifamily Housing, Retail Store",'-122.3247,335899,3358.990234,Central,1,4,26855,Low-Rise Multifamily,34560,0,34560,Rex Apartments,1023327.875,1125035.25,29.29999924,32.20000076,71.90000153,77.69999695,WA,0,5247802345,22.63,1909,98104
657 South Weller Street,NonResidential,Seattle,Compliant,2,2016,false,1323792,387981.3125,0,0.19,Office,24099,47.59737,"Multifamily Housing, Office, Restaurant",'-122.32487,0,0,Central,1,3,26973,Mixed Use Property,49299,0,49299,New Central,4729846.5,4821852,89.19999695,90.90000153,0,0,WA,0,6054550000,9.23,1909,98104
66 BELL ST,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,1827817,535702.625,0,0.2,Multifamily Housing,53228,47.61263,"Multifamily Housing, Office",'-122.34779,0,0,Central,1,6,19932,Mid-Rise Multifamily,62607,0,62607,(ID19932) BELLTOWN LOFTS CONDOMINIUM,1827817.25,1948197.125,31.5,33.5,98.80000305,105.3000031,WA,0,699800000,12.74,1914,98121
66 Hanford St,NonResidential,Seattle,Compliant,2,2016,false,908543,266278.5938,0,1.01,Office,27636,47.57595,"Office, Other",'-122.33624,619753,6197.529785,South,1,2,24830,Small- and Mid-Sized Office,39036,0,39036,Sodo Commerce Building,1528295.75,1633524.125,37.09999847,39.59999847,84.90000153,87,WA,0,7666207340,39.25,1937,98134
660 S Andover St,NonResidential,Seattle,Compliant,2,2016,false,642794,188392.2031,58,0.46,Distribution Center,24000,47.56823,"Distribution Center, Office",'-122.32506,204625,2046.25,South,1,1,24115,Distribution Center,33600,0,33600,Stusser Electric,847419.375,918950.6875,25.20000076,27.29999924,66.5,68.69999695,WA,0,7886100365,15.35,1959,98108
660 S. Othello St.,NonResidential,Seattle,Compliant,2,2016,false,774965,227129.2969,97,0.05,Distribution Center,118733,47.53764,Distribution Center,'-122.3232,764,7.638800144,South,1,1,451,Distribution Center,119661,0,119661,Frye Distribution Center,775729.1875,775864.1875,6.5,6.5,20.5,20.5,WA,0,2136200695,5.44,1960,98108
660 W Olympic Place,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,444879,130386.6016,0,1.82,Multifamily Housing,19189,47.62812,"Multifamily Housing, Parking",'-122.3665,686736,6867.359863,North,1,4,23759,Low-Rise Multifamily,21754,0,21754,660 W Olympic Place,1131615.125,1197539.375,59,62.40000153,110.4000015,114,WA,0,7804360000,39.57,2000,98119
6601 Rainier Ave S,Multifamily LR (1-4),Seattle,Compliant,2,2016,false,878509,257476.4063,22,0.24,Multifamily Housing,25174,47.54262,Multifamily Housing,'-122.27324,0,0,South,1,3,22135,Low-Rise Multifamily,25174,0,25174,Arches Apartments,878509.5,946794.375,34.90000153,37.59999847,109.5999985,118.0999985,WA,0,2724049001,6.12,1967,98118
6605 13th Avenue South,Nonresidential COS,Seattle,Non-Compliant,2,2016,false,72371,21210.59961,0,0.01,Other,39212,47.54277,Other,'-122.31626,0,0,South,1,2,43948,Other,39212,0,39212,Georgetown Steamplant,72370.39844,72370.39844,1.799999952,1.799999952,5.800000191,5.800000191,WA,0,0,0.5,1906,98108
6606 Urusla Pl. South,Campus,Seattle,Compliant,2,2016,false,358020,104929.7969,0,4.45,Manufacturing/Industrial Plant,22800,47.54134,Manufacturing/Industrial Plant,'-122.30529,1864077,18640.76953,South,3,1,19491,Other,22800,0,22800,Pacific Multiforms Inc- Campus,2222097.5,2660376.75,97.5,116.6999969,135.1999969,155.3000031,WA,0,5200056,101.5,1994,98155
661 South Orcas Street,NonResidential,Seattle,Compliant,2,2016,false,222600,65240.30078,65,0.08,Non-Refrigerated Warehouse,21386,47.55127,Non-Refrigerated Warehouse,'-122.32576,0,0,South,1,1,20989,Warehouse,20500,0,20500,Building N,222600.0938,222600.0938,10.39999962,10.39999962,32.70000076,32.70000076,WA,0,1722801081,1.55,1969,98108
6615 Dayton Ave North,NonResidential,Seattle,Compliant,6,2016,false,192436,56399.80078,0,2.26,Social/Meeting Hall,23835,47.67713,Social/Meeting Hall,'-122.35398,1170087,11700.86914,North,1,2,19730,Other,28072,0,28072,Brick Building,1362523,1587238,57.20000076,66.59999847,76.90000153,87.30000305,WA,0,625049063,63.48,1917,98013
6619 Roosevelt Way NE,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,562286,164796.5938,95,0.11,Multifamily Housing,23204,47.67707,"Multifamily Housing, Parking",'-122.31769,0,0,North,2,4,26672,Low-Rise Multifamily,36992,0,36992,Strada 67,562286,590003.125,24.20000076,25.39999962,76.09999847,79.80000305,WA,0,9528102785,3.92,1989,98115
665 S DAKOTA ST,NonResidential,Seattle,Compliant,2,2016,false,839797,246130.2969,0,2.46,Manufacturing/Industrial Plant,20819,47.56671,Manufacturing/Industrial Plant,'-122.32446,855134,8551.336914,South,1,1,24117,Other,20819,0,20819,IMAGINE VISUAL SERVICE (ID24117),1694930.375,1891759.125,81.40000153,90.90000153,169.8000031,179.6999969,WA,0,7886100450,51.27,1974,98108
666 S. Dearborn St,NonResidential,Seattle,Compliant,2,2016,false,3605755,1056786.375,2,0.71,Office,24227,47.59644,"Bank Branch, Office",'-122.32415,0,0,Central,1,3,25713,Small- and Mid-Sized Office,35202,0,35202,International Building,3605755.5,3605755.5,108.0999985,108.0999985,339.5,339.5,WA,0,5247802530,25.14,1979,98104
668 S Lane St,Multifamily MR (5-9),Seattle,Compliant,2,2016,false,1898210,556333.5,0,0.2,Multifamily Housing,66849,47.59696,Multifamily Housing,'-122.32412,0,0,Central,1,7,19519,Mid-Rise Multifamily,66849,0,66849,Asia Condo HOA,1898210.25,1972025.25,28.39999962,29.5,89.19999695,92.59999847,WA,0,86000000,13.23,2002,98104
668 South King Street,Multifamily MR (5-9),Seattle,Compliant,2,2016,false,1591125,466332,98,0.14,Multifamily Housing,37000,47.59861,"Multifamily Housing, Parking, Retail Store",'-122.32413,0,0,Central,1,5,26995,Mid-Rise Multifamily,81120,0,81120,Milwaukee Apartments,1591124.875,1681783.125,37,39.09999847,116.1999969,122.8000031,WA,0,5247802325,11.09,1911,98104
670 S. Weller Street,NonResidential,Seattle,Compliant,2,2016,false,1218294,357061.5,0,6.61,Hotel,21600,47.59766,"Hotel, Restaurant",'-122.32394,3426052,34260.51953,Central,1,3,25709,Hotel,28800,0,28800,Weller & Second Associates,4644346,4644346,161.3000031,161.3000031,257.7000122,257.7000122,WA,0,5247802370,190.45,1908,98104
670 South Orcas Street,NonResidential,Seattle,Compliant,2,2016,false,452612,132653.0938,0,0.12,Other - Recreation,20560,47.55168,"Non-Refrigerated Warehouse, Other - Recreation",'-122.32459,0,0,South,1,1,20985,Other,26400,0,26400,Building Q,452612.5,452612.5,16.29999924,16.29999924,51.20000076,51.20000076,WA,0,1722800620,3.16,1970,98108
6700 Roosevelt Way NE,Multifamily MR (5-9),Seattle,Compliant,4,2016,false,1920352,562823,99,0.17,Multifamily Housing,80701,47.6775,"Multifamily Housing, Parking",'-122.3171,0,0,North,1,5,24906,Mid-Rise Multifamily,80701,0,80701,6700 Roosevelt Apts.,1920352.125,2019394.875,23.79999924,25,74.69999695,78.59999847,WA,0,3658700305,13.39,1988,98115
6701 21st Ave SW,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,850616,249301.2031,38,0.23,Multifamily Housing,25951,47.5425,Multifamily Housing,'-122.36012,0,0,South,1,2,24161,Low-Rise Multifamily,25951,0,25951,Croft Place,850615.8125,917668.5,32.79999924,35.40000153,102.9000015,111,WA,0,3438501950,5.93,2005,98106
6701 Fox Ave S,NonResidential,Seattle,Compliant,2,2016,false,1618916,474477.1875,1,0.26,Non-Refrigerated Warehouse,40000,47.54137,Non-Refrigerated Warehouse,'-122.33051,0,0,South,1,1,19477,Warehouse,44100,0,44100,SeaTac Marine Services,1618916.375,1692054.125,40.5,42.29999924,127.0999985,132.8000031,WA,0,1800128,11.29,1976,98108
6701-6795 E. Marginal Way S.,NonResidential,Seattle,Compliant,2,2016,false,1145957,335860.8125,62,1.91,Distribution Center,124423,47.54187,"Distribution Center, Parking",'-122.32714,4318805,43188.04688,South,1,1,543,Distribution Center,124472,0,124472,Seattle Distribution Center Bldg A,5464762,6345882.5,43.90000153,51,65.40000153,72.80000305,WA,0,5367204080,237.36,1967,98168
6701-6797 E Marginal Way S.,NonResidential,Seattle,Compliant,2,2016,false,836261,245094.0938,72,0.85,Distribution Center,49918,47.54187,"Distribution Center, Parking",'-122.32714,693249,6932.489746,South,1,1,544,Distribution Center,50065,0,50065,Seattle Distribution Center Bldg B,1529510.25,1751500.375,30.60000038,35.09999847,67.19999695,71.90000153,WA,0,5367204080,42.65,1967,98168
6718 M L King Jr Way S,NonResidential,Seattle,Compliant,2,2016,false,226988,66526.39844,96,0.56,Worship Facility,22895,47.5419,"Parking, Worship Facility",'-122.28302,213431,2134.310303,South,1,3,24029,Worship Facility,22895,0,22895,GRACE APOSTOLIC CHURCH,440419.1875,505585,19.20000076,22.10000038,40.90000153,45.5,WA,0,3333002620,12.92,1981,98118
6720 E Marginal Way S,NonResidential,Seattle,Compliant,2,2016,false,189949,55670.89844,82,0.8,Distribution Center,25620,47.54333,Distribution Center,'-122.32792,360375,3603.75,South,1,1,27131,Distribution Center,25620,0,25620,Pacific Rubber Inc,550324.1875,652579.875,21.5,25.5,38,43.09999847,WA,0,5367204010,20.46,1974,98108
6720 E. Greenlake Way N.,Multifamily HR (10+),Seattle,Compliant,6,2016,false,6629292,1942934.25,24,4.35,Senior Care Community,198752,47.67807,"Parking, Senior Care Community",'-122.32917,15425848,154258.4844,North,1,10,26550,Senior Care Community,198752,0,198752,The Hearthstone,22055140,23464030,111,118.0999985,186.1999969,193.6999969,WA,0,9528100355,865.48,1965,98103
6725 45th Ave S,SPS-District K-12,Seattle,Error - Correct Default Data,2,2016,true,1445339,423604.5938,92,0.69,K-12 School,67371,47.54174,K-12 School,'-122.27691,683120,6831.19873,South,1,2,229,K-12 School,67371,0,67371,Martin Luther King Jr. Elementary,2128459,2260359.75,31.60000038,33.59999847,78,80.09999847,WA,0,3812400550,46.36,2004,98118
6727 Rainier Ave S,Multifamily LR (1-4),Seattle,Compliant,2,2016,false,2045497,599500.8125,91,1.36,Multifamily Housing,160561,47.54163,Multifamily Housing,'-122.27358,3839930,38399.30469,South,1,4,20201,Low-Rise Multifamily,160561,0,160561,The Brighton,5885427.5,6396446,36.70000076,39.79999924,65.09999847,68.80000305,WA,0,1105000460,218.2,1968,98118
676 S Industrial Way,NonResidential,Seattle,Compliant,2,2016,false,127374,37331.19922,0,0.04,Non-Refrigerated Warehouse,23232,47.56626,Non-Refrigerated Warehouse,'-122.3244,0,0,South,1,1,27553,Warehouse,23232,0,23232,DAE II,127374,127374,5.5,5.5,17.20000076,17.20000076,WA,0,7376600035,0.89,1972,98108
6760 34th Ave. S.W.,SPS-District K-12,Seattle,Error - Correct Default Data,1,2016,true,1972078,577983.125,75,0.25,K-12 School,54285,47.54176,K-12 School,'-122.37349,0,0,South,1,2,21774,K-12 School,54528,0,54528,West Seattle Elementary,1972078.625,2024296.625,36.29999924,37.29999924,114.0999985,117.0999985,WA,0,2524039050,13.75,1988,98126
6770 E. Marginal Way S.,Campus,Seattle,Compliant,2,2016,false,4967236,1455813.5,0,0.72,College/University,149856,47.54193,College/University,'-122.32404,1368079,13680.79004,South,4,2,49909,University,149856,0,149856,SSCC DUWAMISH GEORGETOWN CAMPUS,6335315.5,6759240.5,42.29999924,45.09999847,113.6999969,118.6999969,WA,0,1800137,107.29,2007,98108
6790 Murray Ave SW,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,683307,200265.9063,78,0.18,Multifamily Housing,25898,47.54093,"Multifamily Housing, Parking",'-122.39431,0,0,South,1,3,28035,Low-Rise Multifamily,26498,0,26498,Tracy Ann Apartments - north,683307.375,732622.5,26.39999962,28.29999924,82.80000305,88.80000305,WA,0,4315700815,4.76,1964,98136
6800 35TH AVE NE,NonResidential,Seattle,Compliant,4,2016,false,511118,149800,78,0.76,Worship Facility,29079,47.67816,Worship Facility,'-122.28998,350526,3505.26001,North,1,1,28053,Worship Facility,29079,0,29079,(ID28053)CONGREGATION BETH SHALOM,861643.6875,930746.875,29.60000038,32,67.80000305,70.30000305,WA,0,4361200005,22.18,1955,98115
6800 62nd Ave NE,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,790040,231547.4063,81,0.19,Multifamily Housing,29744,47.6779,Multifamily Housing,'-122.26166,0,0,North,1,3,42168,Low-Rise Multifamily,29646,0,29646,Brettler Family Place Bld 2,790039.8125,834360.5,26.60000038,28.10000038,83.40000153,88.09999847,WA,0,225049067,5.51,2011,98115
6801 EAST MARGINAL WAY S,NonResidential,Seattle,Compliant,2,2016,false,880605,258090.5938,13,0.88,Distribution Center,27800,47.54113,Distribution Center,'-122.32633,343581,3435.809814,South,1,1,19481,Distribution Center,27800,0,27800,Shultz Distribution,1224186.25,1337789.75,44,48.09999847,112.4000015,120,WA,0,1800159,24.39,1965,98108
6801 Greenwood Ave N,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,1621239,475157.9063,41,0.39,Multifamily Housing,67910,47.67888,Multifamily Housing,'-122.35563,285358,2853.579834,North,1,4,21937,Low-Rise Multifamily,67910,0,67910,Fini Condominium,1906597,1999808.75,28.10000038,29.39999962,79.40000153,82.19999695,WA,0,2539800000,26.46,2007,98103
6801 Roosevelt Way NE,NonResidential,Seattle,Compliant,4,2016,false,759192,222506.5938,83,1.01,Worship Facility,63922,47.67842,Worship Facility,'-122.31949,785803,7858.030273,North,1,3,26670,Worship Facility,46485,0,46485,Calvary Christian Assembly,1544995.75,1689227.75,24.20000076,26.39999962,50.20000076,52.59999847,WA,0,9528102345,47.03,1950,98133
6805 Woodlawn Ave NE,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,853900,250263.7031,86,0.38,Multifamily Housing,38035,47.67772,Multifamily Housing,'-122.32805,158417,1584.169922,North,1,3,26553,Low-Rise Multifamily,38035,0,38035,Aladdin Apartments,1012316.875,981119.6875,26.60000038,25.79999924,74.90000153,74,WA,0,9528100465,14.37,1958,98115
6840 Oswego Pl NE,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,555987,162950.5938,94,0.16,Multifamily Housing,27770,47.67886,Multifamily Housing,'-122.323,12046,120.4599991,North,1,4,26676,Low-Rise Multifamily,27770,0,27770,Oswego Arms,568033.375,592575.875,20.5,21.29999924,63.29999924,66.09999847,WA,0,9528103560,4.52,1988,98115
6850 Woodlawn Ave NE,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,772160,226307.0938,99,0.61,Senior Care Community,47711,47.67747,"Parking, Senior Care Community",'-122.32688,443539,4435.389648,North,1,4,49987,Senior Care Community,47711,0,47711,Village Cove,1215698.75,1306865.25,25.5,27.39999962,60.59999847,64.40000153,WA,0,9528104695,28.94,2015,98115
6870 62nd Ave NE,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,841916,246751.4063,86,0.18,Multifamily Housing,31930,47.67857,Multifamily Housing,'-122.26172,0,0,North,1,3,42074,Low-Rise Multifamily,31930,0,31930,Brettler Family Place,841915.875,871502.6875,26.39999962,27.29999924,82.80000305,85.69999695,WA,0,225049067,5.87,2011,98115
6900 37th Ave S,Multifamily LR (1-4),Seattle,Compliant,2,2016,false,4927628,1444205.125,3,1.32,Multifamily Housing,121635,47.54027,Multifamily Housing,'-122.28551,2380909,23809.0918,South,1,3,24138,Low-Rise Multifamily,121635,0,121635,Park Place Assisted Living,7308538,7760028,60.09999847,63.79999924,147.8000031,155.1999969,WA,0,3395060394,160.8,2001,98118
6900 E. Green Lake Way N.,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,5322021,1559795.25,85,1.21,Multifamily Housing,299642,47.67815,"Fast Food Restaurant, Fitness Center/Health Club/Gym, Medical Office, Multifamily Housing, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant",'-122.32613,3664990,36649.90234,North,1,4,26555,Low-Rise Multifamily,63176,128050,191226,Circa Green Lake - Municipal Benchmarking Account,8987012,9261138,28.10000038,29,64.40000153,65.80000305,WA,0,9528100545,231.75,2008,98115
6900 Woodlawn Ave. NE,NonResidential,Seattle,Compliant,6,2016,false,343669,100723.6016,60,0.54,Worship Facility,27500,47.67783,Worship Facility,'-122.32577,233454,2334.540283,North,1,2,26695,Worship Facility,27500,0,27500,Church in Seattle,577123.125,654455.1875,21,23.79999924,48.20000076,52.40000153,WA,0,9528104205,14.79,1978,98115
6901 Delridge Way SW,Multifamily LR (1-4),Seattle,Error - Correct Default Data,1,2016,true,2251887,659990.375,72,0.18,Multifamily Housing,85695,47.54141,Multifamily Housing,'-122.36166,0,0,South,1,3,24162,Low-Rise Multifamily,85695,0,85695,(ID24162) Willow Court Apts,2251887.5,2356765.5,26.29999924,27.5,82.5,86.40000153,WA,0,3438502400,15.7,1987,98106
6901 fox ave south,NonResidential,Seattle,Compliant,2,2016,false,371850,108982.8984,97,0.61,Non-Refrigerated Warehouse,119200,47.54066,"Non-Refrigerated Warehouse, Other",'-122.33023,1437252,14372.51855,South,1,1,384,Warehouse,128800,0,128800,Dawn Food Products,1809101.5,2098949.75,14,16.29999924,20.79999924,23.29999924,WA,0,1800113,78.92,1977,98108
6901Sand Point Way NE,NonResidential,Seattle,Compliant,4,2016,false,13973696,4095456,0,2.31,Office,92300,47.67828,"Data Center, Office",'-122.26456,2346137,23461.37109,North,1,2,173,Small- and Mid-Sized Office,96300,0,96300,Seattle Children's Hospital 70th/Sand Point Way Administrative Offices,16319835,16274449,167.8000031,167.3999939,476.5,471.1000061,WA,0,6418100005,222.02,2002,98115
6909 Weedin Pl NE,Multifamily LR (1-4),Seattle,Compliant,6,2016,false,813692,238479.4063,96,0.56,Multifamily Housing,52263,47.6792,Multifamily Housing,'-122.32282,446521,4465.210449,North,1,4,26677,Low-Rise Multifamily,52263,0,52263,Weedin Place,1260212.75,1320482.25,24.10000038,25.29999924,57.90000153,59.70000076,WA,0,9528103580,29.39,1991,98115
6910 California Ave SW,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,853314,250092.0938,86,0.15,Multifamily Housing,39581,47.54192,Multifamily Housing,'-122.38682,0,0,South,1,4,20360,Low-Rise Multifamily,39581,0,39581,Cinnamon Ridge,853314.5,918342.125,21.60000038,23.20000076,67.69999695,72.90000153,WA,0,1592100000,5.95,1985,98126
6910 Roosevelt Way NE,NonResidential,Seattle,Compliant,4,2016,false,525913,154136.4063,0,0.61,Self-Storage Facility,38959,47.67905,Self-Storage Facility,'-122.31697,379837,3798.369873,North,1,4,25002,Self-Storage Facility,38959,0,38959,Roosevelt Self Storage,905750.375,963968.1875,23.20000076,24.70000076,52.59999847,54.20000076,WA,0,3658700555,23.84,1996,98115
6920 34th Ave SW,Nonresidential COS,Seattle,Compliant,1,2016,false,,185334.7031,0,1.11,Other - Recreation,18261,47.54067,Other - Recreation,'-122.37441,,2997.199951,South,1,1,50221,Other,18261,0,18261,High Point Community Center,932082.125,1025432.125,51,56.20000076,126,136.6000061,WA,0,2524039059,20.33,1982,
6920 California Ave SW,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,564614,165478.7969,86,0.13,Multifamily Housing,26240,47.54155,Multifamily Housing,'-122.38686,0,0,South,1,4,25215,Low-Rise Multifamily,31488,0,31488,Oak Ridge,564613.6875,615350.3125,21.5,23.5,67.59999847,73.59999847,WA,0,6305000000,3.94,1987,98126
6920 Roosevelt Way NE,NonResidential,Seattle,Compliant,4,2016,false,136609,40037.80078,0,1.04,Self-Storage Facility,22522,47.67923,Self-Storage Facility,'-122.31715,424865,4248.649902,North,1,3,25001,Self-Storage Facility,22522,0,22522,Econo Mini Storage,561473.875,630412.625,24.89999962,28,38.90000153,42.40000153,WA,0,3658700540,23.52,1947,98115
6935 Delridge Way SW,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,1433399,420105.0938,72,0.21,Multifamily Housing,46986,47.54047,Multifamily Housing,'-122.36169,0,0,South,1,3,24163,Low-Rise Multifamily,46986,0,46986,Lam Bow Apartments,1433398.75,1514105.25,30.5,32.20000076,95.80000305,101.1999969,WA,0,3438502425,9.99,1970,98106
6940 37th Ave S,Multifamily LR (1-4),Seattle,Compliant,2,2016,false,1634849,479146.9063,91,0.6,Senior Care Community,66363,47.54027,Senior Care Community,'-122.28551,533852,5338.52002,South,1,3,24137,Senior Care Community,66363,0,66363,Esperanza Apartments,2168701.5,2292482.75,32.70000076,34.5,85.80000305,91.09999847,WA,0,3395060390,39.75,2001,98118
6940 62nd Ave NE,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,746513,218790.5,51,1.39,Multifamily Housing,38264,47.67928,Multifamily Housing,'-122.26177,902261,9022.610352,North,1,3,44267,Low-Rise Multifamily,38264,0,38264,Santos Place Apts,1648774.375,1786300,43.09999847,46.70000076,86,91.40000153,WA,0,225049066,53.12,1947,98115
6951 62nd Ave NE,Multifamily LR (1-4),Seattle,Compliant,4,2016,false,1075019,315070.0938,35,0.23,Multifamily Housing,31928,47.6779,Multifamily Housing,'-122.26166,0,0,North,1,2,49939,Low-Rise Multifamily,31928,0,31928,Gutierrez Kenney Place,1075019.375,1128551.375,33.70000076,35.29999924,105.6999969,111,WA,0,225049063,7.49,2013,98115
6951 Martin Luther King Jr Way S,NonResidential,Seattle,Error - Correct Default Data,2,2016,true,1267463,371472.0938,100,0.16,Retail Store,30000,47.53922,"Parking, Retail Store, Supermarket/Grocery Store",'-122.28295,0,0,South,1,2,24030,Retail Store,36740,17471,54211,King Plaza 6951,1267463.125,1267463.125,36.20000076,36.20000076,113.6999969,113.6999969,WA,0,3333002890,8.84,2002,98118
6960 and 6970 California Avenue SW,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,1656026,485353.3125,54,0.16,Multifamily Housing,48756,47.54095,Multifamily Housing,'-122.38678,0,0,South,1,4,26025,Low-Rise Multifamily,71280,0,71280,West Water,1656025.625,1741839.75,34,35.70000076,106.6999969,112.1999969,WA,0,9320890000,11.54,1989,98136
699 John St,Multifamily MR (5-9),Seattle,Compliant,7,2016,false,2664502,780921,93,0.13,Multifamily Housing,114972,47.61933,Multifamily Housing,'-122.34413,0,0,Central,1,7,25416,Mid-Rise Multifamily,138125,0,138125,MARSELLE,2664502.5,2706775.5,23.20000076,23.5,72.80000305,73.90000153,WA,0,5165500000,18.58,2009,98109
7 Harrison Street,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,463592,135871,91,0.92,Multifamily Housing,25800,47.62194,Multifamily Housing,'-122.35646,386839,3868.389893,North,1,3,21299,Low-Rise Multifamily,25800,0,25800,The Strathmore,850430.875,884586.625,33,34.29999924,72.19999695,76.30000305,WA,0,1989201245,23.78,1908,98109
